n,r2,rmse,mae,spearman,experiment,model,outcome,feature_set,fold,n_train,n_test,z_dim,train_edges,test_edges,n_outputs,holdout_country
852,0.5847287484615542,0.5299777757820766,0.409125109270345,0.7661910285495213,spatial_cv,xgb,dhs_wealth,ae_only,0.0,3414,852,,,,,
836,0.5865071569169549,0.49342206749165296,0.37439364284186727,0.7497902892573652,spatial_cv,xgb,dhs_wealth,ae_only,1.0,3430,836,,,,,
861,0.6497698640574503,0.48664903803951004,0.3783624561046319,0.8054677493071499,spatial_cv,xgb,dhs_wealth,ae_only,2.0,3405,861,,,,,
863,0.6400713110411249,0.49824595001236077,0.3857663008030979,0.7984444607248766,spatial_cv,xgb,dhs_wealth,ae_only,3.0,3403,863,,,,,
854,0.6821907953002345,0.5239591864300687,0.40742973467434346,0.8176930420144494,spatial_cv,xgb,dhs_wealth,ae_only,4.0,3412,854,,,,,
852,0.7052299097358014,0.4465123053290151,0.33291338956003513,0.844064332267418,spatial_cv,xgb,dhs_wealth,tab_only,0.0,3414,852,,,,,
836,0.7035026691686681,0.417825521806712,0.31352232049334056,0.8446405640126857,spatial_cv,xgb,dhs_wealth,tab_only,1.0,3430,836,,,,,
861,0.7572209816767541,0.4051769103164658,0.302402029693935,0.8674442293443602,spatial_cv,xgb,dhs_wealth,tab_only,2.0,3405,861,,,,,
863,0.73991921388524,0.4235353650101951,0.3149448596084057,0.8672465935809691,spatial_cv,xgb,dhs_wealth,tab_only,3.0,3403,863,,,,,
854,0.7558730346908726,0.45922138031467263,0.3567964157961479,0.87507860227703,spatial_cv,xgb,dhs_wealth,tab_only,4.0,3412,854,,,,,
852,0.7148311454791894,0.4391802184204978,0.32670508472290133,0.8491913316397199,spatial_cv,xgb,dhs_wealth,full,0.0,3414,852,,,,,
836,0.7117381393474351,0.41198192542951695,0.30981487049425965,0.8438187883121445,spatial_cv,xgb,dhs_wealth,full,1.0,3430,836,,,,,
861,0.77157468201081,0.3930169056347458,0.2905731111431008,0.8746979631962648,spatial_cv,xgb,dhs_wealth,full,2.0,3405,861,,,,,
